url_path,views_total,views_unique
/peff74/ACS712_ESP8266,31,16
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,13,10
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,8,7
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,7,4
/peff74/ACS712_ESP8266/blob/main/README.md,5,3
/peff74/ACS712_ESP8266/blob/github-repo-stats/peff74/ACS712_ESP8266/latest-report/report.pdf,5,1
/peff74/ACS712_ESP8266/tree/main,4,4
/peff74/ACS712_ESP8266/tree/github-repo-stats/peff74/ACS712_ESP8266/latest-report,3,1
/peff74/ACS712_ESP8266/actions,2,1
/peff74/ACS712_ESP8266/actions/workflows/github-repo-stats.yml,2,1
